lemma	pos	#_semcor	#_omsti	#_omsti_sample
school_board	n	2	0	0
enough	a	0	0	0
battery	n	12	0	0
picture	n	209	0	0
gifted	a	0	0	0
unambiguous	a	3	0	0
uncommon	a	4	0	0
ring	v	96	0	0
differential	n	2	0	0
cervix	n	28	0	0
sort	n	239	0	0
theorize	v	28	0	0
city	n	126	0	0
small	a	295	0	0
isolation	n	5	0	0
about	r	375	0	0
graduate	v	14	0	0
track	v	82	0	0
genesis	n	3	0	0
rule	n	74	0	0
tea	n	6	0	0
letter	n	67	0	0
no	r	53	0	0
distinct	a	10	0	0
year	n	439	0	0
true	a	79	0	0
lack	n	46	0	0
bell_ringer	n	1	0	0
characterize	v	17	0	0
enough	r	106	0	0
turn_to	v	31	0	0
swing	n	2	0	0
straight	r	46	0	0
would-be	a	0	0	0
otherwise	r	39	0	0
rare	a	0	0	0
experiment	n	85	0	0
institute	v	49	0	0
serious	a	27	0	0
nation	n	145	0	0
equally	r	45	0	0
case	n	199	0	0
startling	a	0	0	0
killer	n	8	0	0
attractive	a	4	0	0
much	a	119	0	0
function	v	126	0	0
echo	v	21	0	0
identifiable	a	1	0	0
put	v	454	0	0
japanese	a	10	0	0
in_concert	r	1	0	0
seriously	r	34	0	0
self-expression	n	0	0	0
poor	a	14	0	0
look	v	1077	0	0
believe	v	436	0	0
community	n	74	0	0
genetic	a	0	0	0
lucky	a	1	0	0
fate	n	27	0	0
family_doctor	n	0	0	0
galvanize	v	6	0	0
male	a	8	0	0
past	a	28	0	0
ahead	r	56	0	0
bright	a	12	0	0
basic	a	45	0	0
go_back	v	19	0	0
assume	v	241	0	0
attendance	n	2	0	0
admit	v	107	0	0
college	n	45	0	0
maybe	r	173	0	0
survive	v	104	0	0
snake	v	3	0	0
accountability	n	0	0	0
every_inch	r	0	0	0
kind	n	238	0	0
actually	r	94	0	0
normal	a	76	0	0
dna	n	0	0	0
scattered	a	0	0	0
cleric	n	2	0	0
multiple	a	6	0	0
prestigious	a	0	0	0
next	a	0	0	0
paperwork	n	1	0	0
exactly	r	148	0	0
potentiality	n	15	0	0
implicate	v	3	0	0
search	v	135	0	0
most	a	100	0	0
octogenarian	n	0	0	0
rhythmically	r	0	0	0
replace	v	80	0	0
truly	r	87	0	0
evensong	n	1	0	0
certain	a	70	0	0
major	a	86	0	0
bad	a	49	0	0
other	a	442	0	0
increase	v	144	0	0
human	a	80	0	0
recognize	v	195	0	0
union	n	66	0	0
involved	a	23	0	0
prizefighter	n	0	0	0
proceed	v	420	0	0
equal_opportunity	n	0	0	0
dexterity	n	0	0	0
large	a	228	0	0
impair	v	12	0	0
childhood	n	10	0	0
practice	n	57	0	0
intricate	a	0	0	0
arise	v	218	0	0
development	n	177	0	0
textbook	n	1	0	0
eruption	n	8	0	0
problem	n	208	0	0
master	v	24	0	0
vicar	n	1	0	0
situation	n	107	0	0
severe	a	0	0	0
microscope	n	7	0	0
require	v	526	0	0
source	n	93	0	0
whole	a	87	0	0
protein	n	23	0	0
surprising	a	9	0	0
number	n	216	0	0
blame	v	28	0	0
flourish	v	26	0	0
open	a	51	0	0
spot	n	116	0	0
article	n	21	0	0
fill	v	151	0	0
libel	n	0	0	0
vary	v	78	0	0
flow	v	37	0	0
lady	n	31	0	0
knock_out	v	7	0	0
wish	v	162	0	0
wonderful	a	0	0	0
traditionally	r	1	0	0
chance	a	0	0	0
advocate	v	74	0	0
president	n	40	0	0
specifically	r	13	0	0
u.s.	n	169	0	0
childcare	n	1	0	0
mr	n	0	0	0
scientist	n	7	0	0
perhaps	r	173	0	0
grow	v	274	0	0
elsewhere	r	14	0	0
downright	r	3	0	0
pair	n	32	0	0
attack	v	52	0	0
nearly	r	220	0	0
afterward	r	123	0	0
adolescent	a	1	0	0
ancient	a	0	0	0
recently	r	36	0	0
low	a	79	0	0
dual	a	0	0	0
pub	n	2	0	0
badly	r	33	0	0
occasionally	r	51	0	0
novelist	n	6	0	0
sharply	r	18	0	0
stance	n	2	0	0
self-esteem	n	3	0	0
only	r	814	0	0
accept	v	185	0	0
individual	n	6782	0	0
mind	v	38	0	0
use	v	723	0	0
class	n	149	0	0
trendy	a	0	0	0
present	a	94	0	0
extract	v	15	0	0
of_course	r	132	0	0
locally	r	2	0	0
strategy	n	21	0	0
end	v	111	0	0
door	n	146	0	0
big	a	228	0	0
belfry	n	1	0	0
weekly	a	0	0	0
malignant	a	0	0	0
pregnant	a	3	0	0
modish	a	0	0	0
mechanical	a	12	0	0
obscure	a	0	0	0
ruffle	v	11	0	0
permit	v	413	0	0
progress	v	70	0	0
variety	n	274	0	0
then	r	542	0	0
scene	n	91	0	0
rural	a	25	0	0
ritual	n	12	0	0
baby	n	19	0	0
home	n	210	0	0
initiate	v	38	0	0
rebellion	n	12	0	0
hunter	n	6	0	0
biologist	n	1	0	0
claim	n	51	0	0
emerge	v	60	0	0
nature	n	58	0	0
refuse	v	122	0	0
observe	v	499	0	0
method	n	95	0	0
modern	a	56	0	0
decorate	v	11	0	0
faculty	n	7	0	0
majority	n	29	0	0
predictive	a	0	0	0
fault	n	35	0	0
higher	a	187	0	0
more	r	387	0	0
undefined	a	0	0	0
now	r	544	0	0
circle	n	38	0	0
attend	v	133	0	0
basis	n	70	0	0
opinion	n	106	0	0
option	n	40	0	0
reverse	v	35	0	0
many	a	309	0	0
master	n	30	0	0
enter	v	332	0	0
threat	n	26	0	0
congregation	n	33	0	0
in_the_first_place	r	16	0	0
longer	r	16	0	0
swing	v	57	0	0
sack	v	10	0	0
turn_out	v	144	0	0
there	r	156	0	0
coherent	a	2	0	0
locate	v	52	0	0
europe	n	28	0	0
month	n	104	0	0
sign	n	52	0	0
membership	n	19	0	0
interest	n	153	0	0
generation	n	27	0	0
chat	v	4	0	0
faint	v	2	0	0
differ	v	39	0	0
here	r	255	0	0
impaired	a	0	0	0
strike	v	160	0	0
relinquish	v	31	0	0
obsession	n	1	0	0
separate	a	19	0	0
average	a	0	0	0
public	n	57	0	0
stone	n	45	0	0
band	n	36	0	0
such	a	0	0	0
way	n	469	0	0
friendly	a	25	0	0
stop	v	281	0	0
summer	n	57	0	0
scourge	n	2	0	0
peculiar	a	0	0	0
ringer	n	0	0	0
end_up	v	20	0	0
prevention	n	18	0	0
hope	v	122	0	0
delete	v	0	0	0
blasphemous	a	0	0	0
help	v	304	0	0
stare	v	76	0	0
stay	v	294	0	0
determine	v	502	0	0
remain	v	258	0	0
peculiarity	n	4	0	0
district	n	43	0	0
fact	n	124	0	0
read	v	257	0	0
bell	n	13	0	0
reply	n	43	0	0
bell_tower	n	0	0	0
intellectual	a	3	0	0
breast	n	7	0	0
member	n	75	0	0
involvement	n	82	0	0
realize	v	318	0	0
at_the_same_time	r	51	0	0
brilliant	a	0	0	0
dwindle	v	5	0	0
wrist	n	9	0	0
life	n	253	0	0
spring	n	39	0	0
issue	n	284	0	0
need	v	455	0	0
sweat	n	21	0	0
powerful	a	15	0	0
churchgoer	n	2	0	0
mental	a	12	0	0
french	a	9	0	0
name	n	115	0	0
bear	v	212	0	0
start	v	718	0	0
think_of	v	254	0	0
psychological	a	2	0	0
profession	n	12	0	0
damage	v	12	0	0
disco	n	0	0	0
old_age	n	20	0	0
less	r	79	0	0
scale	n	28	0	0
growth	n	84	0	0
identity	n	22	0	0
cherished	a	0	0	0
schooling	n	7	0	0
scientific	a	24	0	0
change_ringing	n	0	0	0
far	r	106	0	0
few	a	78	0	0
desirable	a	16	0	0
as	r	43	0	0
political	a	62	0	0
swap	v	6	0	0
improve	v	82	0	0
position	n	205	0	0
live	v	315	0	0
occur	v	320	0	0
educate	v	33	0	0
teacher	n	47	0	0
kill	v	100	0	0
unfair	a	1	0	0
carillon	n	0	0	0
identify	v	64	0	0
full-blown	a	0	0	0
satisfaction	n	13	0	0
study	v	224	0	0
morning	n	86	0	0
teach	v	95	0	0
schoolteacher	n	1	0	0
conference	n	24	0	0
in_effect	r	7	0	0
physical	a	33	0	0
analyze	v	115	0	0
propose	v	121	0	0
matter	n	109	0	0
administer	v	34	0	0
ferret_out	v	1	0	0
add	v	244	0	0
so	r	1124	0	0
peripheral_vision	n	0	0	0
exit	n	5	0	0
find_out	v	407	0	0
poorly	r	16	0	0
picket_line	n	0	0	0
steady	a	10	0	0
result	v	140	0	0
english	n	26	0	0
student	n	95	0	0
unit	n	43	0	0
pupil	n	75	0	0
pattern	n	146	0	0
state	v	1973	0	0
beneficiary	n	2	0	0
britain	n	5	0	0
to_date	r	0	0	0
important	a	173	0	0
side	n	147	0	0
drug	n	30	0	0
name	v	294	0	0
particularly	r	137	0	0
lovely	a	0	0	0
equity	n	2	0	0
family	n	186	0	0
bizarre	a	0	0	0
pile	v	12	0	0
mutate	v	0	0	0
performance	n	62	0	0
slow	v	24	0	0
generally	r	77	0	0
ignorance	n	4	0	0
audacious	a	0	0	0
new_year	n	0	0	0
press	v	92	0	0
1970s	n	0	0	0
assimilate	v	11	0	0
rest	n	58	0	0
cancerous	a	0	0	0
minimize	v	16	0	0
thursday	n	13	0	0
intense	a	16	0	0
relations	n	50	0	0
rather	r	206	0	0
premises	n	17	0	0
competent	a	7	0	0
unequivocally	r	5	0	0
little	a	368	0	0
promptly	r	28	0	0
right	a	53	0	0
dozen	n	21	0	0
cell	n	117	0	0
memorize	v	12	0	0
produce	v	242	0	0
in_practice	r	4	0	0
go_with	v	40	0	0
effort	n	168	0	0
madly	r	6	0	0
newly	r	13	0	0
ago	r	76	0	0
get	v	2744	0	0
quite	r	97	0	0
mixed	a	0	0	0
experimentally	r	5	0	0
try	v	477	0	0
race	v	40	0	0
damaged	a	0	0	0
principal	n	19	0	0
bottom	n	33	0	0
desire	v	459	0	0
type	n	145	0	0
night	n	155	0	0
governance	n	23	0	0
male	n	10	0	0
come	v	890	0	0
division	n	28	0	0
usher_in	v	1	0	0
early	a	98	0	0
remember	v	271	0	0
detective_story	n	2	0	0
paradox	n	3	0	0
man	n	606	0	0
in_particular	r	9	0	0
equal	a	47	0	0
prostate	n	0	0	0
silent	a	0	0	0
set_off	v	91	0	0
set	n	73	0	0
inspiring	a	1	0	0
major	n	2	0	0
director	n	65	0	0
agreeable	a	0	0	0
healthy	a	15	0	0
team	n	51	0	0
sometimes	r	78	0	0
conventional	a	12	0	0
lethal	a	0	0	0
unknowingly	r	3	0	0
elected	a	3	0	0
feel	v	509	0	0
salary	n	97	0	0
faultlessly	r	0	0	0
necessary	a	76	0	0
prayer	n	14	0	0
trigger	v	22	0	0
especially	r	127	0	0
easy	a	58	0	0
provide	v	431	0	0
right	r	80	0	0
spot	v	64	0	0
scrutinize	v	8	0	0
prevail	v	47	0	0
settle	v	95	0	0
attract	v	41	0	0
scrape	v	15	0	0
shortly	r	86	0	0
traditional	a	22	0	0
take_place	v	304	0	0
complete	v	112	0	0
balanced	a	10	0	0
steadily	r	6	0	0
german	a	11	0	0
test	n	85	0	0
open	v	160	0	0
early	r	26	0	0
english	a	33	0	0
always	r	190	0	0
discordant	a	0	0	0
acne	n	0	0	0
fit	a	6	0	0
cascade	v	2	0	0
down	r	110	0	0
classroom	n	8	0	0
anticancer	a	0	0	0
retinal	a	3	0	0
inherent	a	0	0	0
female	n	22	0	0
prove	v	361	0	0
fight	v	112	0	0
incompetence	n	0	0	0
repeat	v	73	0	0
service	n	49	0	0
retired	a	0	0	0
smaller	a	295	0	0
country	n	335	0	0
illiteracy	n	0	0	0
variation	n	43	0	0
share	v	62	0	0
bang	n	14	0	0
head	n	331	0	0
carry	v	249	0	0
often	r	180	0	0
example	n	169	0	0
really	r	397	0	0
place	n	284	0	0
wash	v	35	0	0
emerging	a	0	0	0
club	n	45	0	0
second	a	0	0	0
dubious	a	0	0	0
crunch	n	1	0	0
doctor	n	81	0	0
talent	n	23	0	0
rank	n	30	0	0
council	n	8	0	0
take	v	1708	0	0
descend	v	60	0	0
time	v	9	0	0
bowel	n	2	0	0
unintelligible	a	0	0	0
age	n	143	0	0
sample	n	61	0	0
equate	v	24	0	0
thing	n	310	0	0
parental	a	1	0	0
become	v	687	0	0
material	n	154	0	0
focus_on	v	34	0	0
bronze	n	2	0	0
herald	v	12	0	0
shred	n	11	0	0
red-blooded	a	0	0	0
illusion	n	33	0	0
describe	v	223	0	0
insight	n	16	0	0
match	v	109	0	0
dump	v	14	0	0
below	r	44	0	0
mean	v	340	0	0
mind-boggling	a	0	0	0
wheel	n	23	0	0
worry	v	74	0	0
nearby	a	0	0	0
mount	v	82	0	0
nationwide	a	0	0	0
copy	n	15	0	0
protest	n	17	0	0
elementary_school	n	2	0	0
perform	v	355	0	0
level	n	212	0	0
interesting	a	27	0	0
brain	n	132	0	0
frequently	r	174	0	0
in_any_case	r	47	0	0
larger	a	228	0	0
find	v	1344	0	0
enjoy	v	127	0	0
dance	n	24	0	0
promote	v	107	0	0
medical	a	34	0	0
survey	n	108	0	0
chromosome	n	0	0	0
bless	v	6	0	0
seem	v	818	0	0
evening	n	36	0	0
parliament	n	2	0	0
dominate	v	35	0	0
away	r	105	0	0
strong-willed	a	0	0	0
once	r	119	0	0
draw	v	319	0	0
suffer	v	112	0	0
patient	n	72	0	0
influence	n	48	0	0
clearly	r	54	0	0
involve	v	457	0	0
molecular	a	6	0	0
measure	n	140	0	0
think	v	825	0	0
experience	n	125	0	0
soul	n	6787	0	0
eye	n	261	0	0
british	a	11	0	0
peal	n	0	0	0
speculate	v	59	0	0
behalf	n	6	0	0
math	n	5	0	0
common_sense	n	6	0	0
suddenly	r	79	0	0
reform	n	4	0	0
deadly	a	0	0	0
partly	r	35	0	0
work	n	234	0	0
kidney	n	9	0	0
knowledge	n	39	0	0
alone	r	300	0	0
own	a	0	0	0
base	v	76	0	0
gene	n	0	0	0
identical	a	0	0	0
sure	a	64	0	0
canada	n	9	0	0
test	v	71	0	0
same	a	223	0	0
totally	r	129	0	0
demand	v	391	0	0
surface	v	73	0	0
increased	a	29	0	0
research	n	56	0	0
pap	n	3	0	0
thus	r	245	0	0
array	n	3	0	0
reliably	r	3	0	0
series	n	51	0	0
extent	n	38	0	0
clear	a	57	0	0
reason	n	129	0	0
history	n	119	0	0
begin	v	600	0	0
soon	r	61	0	0
interference	n	7	0	0
hour	n	136	0	0
precede	v	24	0	0
lead	v	448	0	0
january	n	14	0	0
retard	v	15	0	0
idea	n	208	0	0
lose	v	173	0	0
tumor	n	19	0	0
mother	n	88	0	0
exist	v	818	0	0
compare	v	85	0	0
disciplined	a	0	0	0
frustration	n	8	0	0
stage	n	138	0	0
lab	n	21	0	0
stand	v	279	0	0
authority	n	94	0	0
defective	a	0	0	0
cool	a	22	0	0
ceiling	n	12	0	0
switch	v	41	0	0
entitle	v	26	0	0
muffle	v	5	0	0
joy	n	18	0	0
all	r	129	0	0
oncogene	n	0	0	0
peal	v	15	0	0
diagnosis	n	5	0	0
satisfying	a	0	0	0
autumn	n	21	0	0
policy	n	62	0	0
give	v	1085	0	0
report	v	190	0	0
possible	a	158	0	0
just	r	810	0	0
pivotal	a	0	0	0
work	v	411	0	0
local	a	50	0	0
evidence	n	88	0	0
include	v	294	0	0
close	a	98	0	0
galling	a	0	0	0
more	a	195	0	0
tune	n	21	0	0
newspaper	n	55	0	0
suppress	v	26	0	0
therefore	r	201	0	0
training	n	72	0	0
drift	v	51	0	0
limitation	n	13	0	0
look	n	99	0	0
absorb	v	47	0	0
however	r	270	0	0
active	a	21	0	0
recent	a	0	0	0
version	n	32	0	0
write	v	298	0	0
program	n	212	0	0
crisis	n	13	0	0
chance	n	156	0	0
future	n	45	0	0
homework	n	0	0	0
lung	n	29	0	0
expect	v	309	0	0
even	r	436	0	0
chamber	n	30	0	0
train	v	74	0	0
creativity	n	3	0	0
colleague	n	14	0	0
nothing	n	142	0	0
group	n	1338	0	0
youngster	n	205	0	0
note	n	48	0	0
follow	v	509	0	0
sound	v	62	0	0
concentration	n	41	0	0
miss	v	103	0	0
minimal	a	47	0	0
polyp	n	0	0	0
suit	n	36	0	0
effect	n	225	0	0
consider	v	690	0	0
control	v	132	0	0
tedious	a	0	0	0
repression	n	1	0	0
worker	n	37	0	0
treatment	n	87	0	0
belong_to	v	33	0	0
predict	v	42	0	0
subtract	v	22	0	0
outside	a	14	0	0
pharmaceutical	a	1	0	0
develop	v	288	0	0
somewhere	r	30	0	0
somehow	r	27	0	0
order	n	81	0	0
course	n	148	0	0
hole	n	27	0	0
unleash	v	5	0	0
call	v	404	0	0
cancer	n	15	0	0
skip	v	18	0	0
finding	n	27	0	0
church_of_england	n	6	0	0
infant	n	18	0	0
commit	v	90	0	0
signal	n	21	0	0
show	v	708	0	0
report_card	n	0	0	0
colon	n	2	0	0
full	a	37	0	0
time	n	516	0	0
regard_as	v	67	0	0
respect	n	33	0	0
increasingly	r	27	0	0
flatulent	a	0	0	0
huge	a	0	0	0
area	n	244	0	0
pressing	a	0	0	0
booklet	n	1	0	0
well	r	166	0	0
child	n	265	0	0
torrent	n	7	0	0
merely	r	514	0	0
pull	n	9	0	0
formation	n	29	0	0
constitute	v	331	0	0
worse	a	63	0	0
fall	v	171	0	0
loss	n	45	0	0
future	a	12	0	0
passion	n	11	0	0
combination	n	19	0	0
politician	n	13	0	0
top-heavy	a	0	0	0
structure	n	54	0	0
pass	v	883	0	0
back	r	171	0	0
unwashed	a	0	0	0
geneticist	n	1	0	0
altar	n	0	0	0
remark	v	168	0	0
england	n	39	0	0
play	v	313	0	0
combine	v	57	0	0
accident	n	12	0	0
extend	v	174	0	0
therapy	n	7	0	0
greater	a	41	0	0
above	r	44	0	0
confirm	v	47	0	0
woman	n	138	0	0
curriculum	n	7	0	0
learn	v	430	0	0
turn	v	484	0	0
exact	a	8	0	0
fortunately	r	5	0	0
least	a	2	0	0
concerned	a	15	0	0
die	v	152	0	0
school	n	150	0	0
notion	n	72	0	0
money	n	90	0	0
inevitably	r	15	0	0
concern	v	126	0	0
expenditure	n	22	0	0
face	v	152	0	0
american	n	35	0	0
snippet	n	1	0	0
lot	n	75	0	0
probe	v	18	0	0
helpful	a	9	0	0
successful	a	39	0	0
unbearably	r	0	0	0
meeting	n	40	0	0
winter	n	25	0	0
invariably	r	14	0	0
too	r	700	0	0
discover	v	597	0	0
extraordinarily	r	0	0	0
stick_on	v	8	0	0
step	n	74	0	0
comprehensive	a	8	0	0
kid	n	265	0	0
very	r	251	0	0
contain	v	197	0	0
less	a	39	0	0
real	a	64	0	0
nice	a	21	0	0
high-pitched	a	10	0	0
grade	n	175	0	0
set_out	v	507	0	0
inner_city	n	2	0	0
most	r	454	0	0
stem	v	19	0	0
on_the_whole	r	6	0	0
today	n	78	0	0
next	r	11	0	0
violate	v	29	0	0
parent	n	35	0	0
haunt	v	10	0	0
corrupt	a	3	0	0
theory	n	82	0	0
confusing	a	0	0	0
result	n	292	0	0
field	n	152	0	0
sum_up	v	21	0	0
collectively	r	2	0	0
leave	v	528	0	0
sound	n	60	0	0
cause	v	314	0	0
third	n	25	0	0
dustup	n	1	0	0
skin	n	16	0	0
serve	v	234	0	0
posture	n	28	0	0
governor	n	9	0	0
keep	v	687	0	0
superior	a	16	0	0
disappointing	a	0	0	0
also	r	533	0	0
gross	a	8	0	0
foreigner	n	11	0	0
attention	n	74	0	0
transform	v	37	0	0
authoritarian	a	0	0	0
tailor	n	0	0	0
tragic	a	3	0	0
philosophy	n	41	0	0
company	n	107	0	0
hold	v	2023	0	0
tell	v	2342	0	0
american	a	121	0	0
radiation	n	46	0	0
gradually	r	18	0	0
mute	a	0	0	0
young	a	95	0	0
entire	a	0	0	0
common	a	45	0	0
metaphysical	a	2	0	0
decent	a	0	0	0
challenge	v	24	0	0
well-known	a	0	0	0
week	n	107	0	0
advance	v	178	0	0
weigh	v	82	0	0
disease	n	26	0	0
collaborate	v	32	0	0
suggest	v	162	0	0
personality	n	15	0	0
people	n	288	0	0
obvious	a	25	0	0
main	a	0	0	0
appear	v	953	0	0
paint_a_picture	v	13	0	0
allow	v	519	0	0
form	n	587	0	0
quickly	r	76	0	0
medicine	n	13	0	0
latent	a	0	0	0
insubstantial	a	1	0	0
exposure	n	36	0	0
unpublished	a	1	0	0
morale	n	8	0	0
make	v	2830	0	0
drive	v	142	0	0
never	r	223	0	0
controversial	a	1	0	0
absurd	a	0	0	0
factor	n	101	0	0
doom	v	16	0	0
set_up	v	284	0	0
treat	v	148	0	0
current	a	17	0	0
presence	n	38	0	0
last	a	41	0	0
care	n	44	0	0
perfection	n	7	0	0
bit	n	75	0	0
